month_year,region,country,visitor_count
2000-07,Southeast Asia,Malaysia,43423
2000-07,Southeast Asia,Myanmar,1669
2000-07,Southeast Asia,Philippines,13936
2000-07,Southeast Asia,Thailand,20357
2000-07,Southeast Asia,Vietnam,2978
2000-07,Southeast Asia,Other Markets In Southeast Asia,na
2000-07,Greater China,China,36148
2000-07,Greater China,Hong Kong SAR,30218
2000-07,Greater China,Taiwan,35570
2000-07,Greater China,Other Markets In Greater China,na
2000-07,North Asia,Japan,84634
2000-07,North Asia,South Korea,32960
2000-07,North Asia,Other Markets In North Asia,na
2000-07,South Asia,Bangladesh,3843
2000-07,South Asia,India,28127
2000-07,South Asia,Pakistan,5159
2000-07,South Asia,Sri Lanka,5171
2000-07,South Asia,Other Markets In South Asia,1695
2000-07,West Asia,Iran,459
2000-07,West Asia,Israel,na
2000-07,West Asia,Kuwait,2029
2000-07,West Asia,Saudi Arabia,7175
2000-07,West Asia,United Arab Emirates,4001
2000-07,West Asia,Other Markets In West Asia,na
2000-07,Americas,Canada,5430
2000-07,Americas,USA,34455
2000-07,Americas,Other Markets In Americas,na
2000-07,Europe,Belgium & Luxembourg,2422
2000-07,Europe,Denmark,2554
2000-07,Europe,Finland,942
2000-07,Europe,France,7282
2000-07,Europe,Germany,11990
2000-07,Europe,Italy,3438
2000-07,Europe,Netherlands,7986
2000-07,Europe,Norway,2707
2000-07,Europe,Rep Of Ireland,na
2000-07,Europe,Russian Federation,na
2000-07,Europe,Spain,1391
2000-07,Europe,Sweden,2995
2000-07,Europe,Switzerland,4301
2000-07,Europe,United Kingdom,34664
2000-07,Europe,Other Markets In Europe,na
2000-07,Oceania,Australia,48583
2000-07,Oceania,New Zealand,11535
2000-07,Oceania,Other Markets In Oceania,984
2000-07,Africa,Egypt,na
2000-07,Africa,Mauritius,na
2000-07,Africa,South Africa (Rep Of),na
2000-07,Africa,Other Markets In Africa,na
2000-08,Southeast Asia,Brunei Darussalam,6658
2000-08,Southeast Asia,Indonesia,96891
2000-08,Southeast Asia,Malaysia,43952
2000-08,Southeast Asia,Myanmar,1822
2000-08,Southeast Asia,Philippines,14168
2000-08,Southeast Asia,Thailand,19311
2000-08,Southeast Asia,Vietnam,3227
2000-08,Southeast Asia,Other Markets In Southeast Asia,na
2000-08,Greater China,China,41162
2000-08,Greater China,Hong Kong SAR,31963
2000-08,Greater China,Taiwan,30732
2000-08,Greater China,Other Markets In Greater China,na
2000-08,North Asia,Japan,101785
2000-08,North Asia,South Korea,34877
2000-08,North Asia,Other Markets In North Asia,na
2000-08,South Asia,Bangladesh,3354
2000-08,South Asia,India,26859
2000-08,South Asia,Pakistan,4237
2000-08,South Asia,Sri Lanka,6222
2000-08,South Asia,Other Markets In South Asia,1694
2000-08,West Asia,Iran,481
2000-08,West Asia,Israel,na
2000-08,West Asia,Kuwait,2971
2000-08,West Asia,Saudi Arabia,5001
2000-08,West Asia,United Arab Emirates,3720
2000-08,West Asia,Other Markets In West Asia,na
2000-08,Americas,Canada,5884
2000-08,Americas,USA,31776
2000-08,Americas,Other Markets In Americas,na
2000-08,Europe,Belgium & Luxembourg,2291
2000-08,Europe,Denmark,1896
2000-08,Europe,Finland,1367
2000-08,Europe,France,8442
2000-08,Europe,Germany,13193
2000-08,Europe,Italy,7709
2000-08,Europe,Netherlands,7284
2000-08,Europe,Norway,1895
2000-08,Europe,Rep Of Ireland,na
2000-08,Europe,Russian Federation,na
2000-08,Europe,Spain,1925
2000-08,Europe,Sweden,2229
2000-08,Europe,Switzerland,3575
2000-08,Europe,United Kingdom,39598
2000-08,Europe,Other Markets In Europe,na
2000-08,Oceania,Australia,44627
2000-08,Oceania,New Zealand,8205
2000-08,Oceania,Other Markets In Oceania,879
2000-08,Africa,Egypt,na
2000-08,Africa,Mauritius,na
2000-08,Africa,South Africa (Rep Of),na
2000-08,Africa,Other Markets In Africa,na
2000-09,Southeast Asia,Brunei Darussalam,4545
2000-09,Southeast Asia,Indonesia,94625
2000-09,Southeast Asia,Malaysia,50267
2000-09,Southeast Asia,Myanmar,1655
2000-09,Southeast Asia,Philippines,13683
2000-09,Southeast Asia,Thailand,19266
2000-09,Southeast Asia,Vietnam,2584
2000-09,Southeast Asia,Other Markets In Southeast Asia,na
2000-09,Greater China,China,31239
2000-09,Greater China,Hong Kong SAR,20566
2000-09,Greater China,Taiwan,19824
2000-09,Greater China,Other Markets In Greater China,na
2000-09,North Asia,Japan,89417
2000-09,North Asia,South Korea,23207
2000-09,North Asia,Other Markets In North Asia,na
2000-09,South Asia,Bangladesh,3103
2000-09,South Asia,India,28881
2000-09,South Asia,Pakistan,3570
2000-09,South Asia,Sri Lanka,4970
2000-09,South Asia,Other Markets In South Asia,1470
2000-09,West Asia,Iran,575
2000-09,West Asia,Israel,na
2000-09,West Asia,Kuwait,460
2000-09,West Asia,Saudi Arabia,1262
2000-09,West Asia,United Arab Emirates,1434
2000-09,West Asia,Other Markets In West Asia,na
2000-09,Americas,Canada,4250
2000-09,Americas,USA,28323
2000-09,Americas,Other Markets In Americas,na
2000-09,Europe,Belgium & Luxembourg,1951
2000-09,Europe,Denmark,1808
2000-09,Europe,Finland,1135
2000-09,Europe,France,5064
2000-09,Europe,Germany,12813
2000-09,Europe,Italy,3329
2000-09,Europe,Netherlands,6372
2000-09,Europe,Norway,1678
2000-09,Europe,Rep Of Ireland,na
2000-09,Europe,Russian Federation,na
2000-09,Europe,Spain,1294
2000-09,Europe,Sweden,2301
2000-09,Europe,Switzerland,3367
2000-09,Europe,United Kingdom,34229
2000-09,Europe,Other Markets In Europe,na
2000-09,Oceania,Australia,49341
2000-09,Oceania,New Zealand,12237
2000-09,Oceania,Other Markets In Oceania,1077
2000-09,Africa,Egypt,na
2000-09,Africa,Mauritius,na
2000-09,Africa,South Africa (Rep Of),na
2000-09,Africa,Other Markets In Africa,na
2000-10,Southeast Asia,Brunei Darussalam,3958
2000-10,Southeast Asia,Indonesia,105711
2000-10,Southeast Asia,Malaysia,45592
2000-10,Southeast Asia,Myanmar,1704
2000-10,Southeast Asia,Philippines,15216
2000-10,Southeast Asia,Thailand,22009
2000-10,Southeast Asia,Vietnam,2541
2000-10,Southeast Asia,Other Markets In Southeast Asia,na
2000-10,Greater China,China,35195
2000-10,Greater China,Hong Kong SAR,21512
2000-10,Greater China,Taiwan,17685
2000-10,Greater China,Other Markets In Greater China,na
2000-10,North Asia,Japan,73383
2000-10,North Asia,South Korea,28185
2000-10,North Asia,Other Markets In North Asia,na
2000-10,South Asia,Bangladesh,3342
2000-10,South Asia,India,29385
2000-10,South Asia,Pakistan,3785
2000-10,South Asia,Sri Lanka,4847
2000-10,South Asia,Other Markets In South Asia,1538
2000-10,West Asia,Iran,613
2000-10,West Asia,Israel,na
2000-10,West Asia,Kuwait,290
2000-10,West Asia,Saudi Arabia,1072
2000-10,West Asia,United Arab Emirates,1168
2000-10,West Asia,Other Markets In West Asia,na
2000-10,Americas,Canada,5851
2000-10,Americas,USA,32670
2000-10,Americas,Other Markets In Americas,na
2000-10,Europe,Belgium & Luxembourg,2425
2000-10,Europe,Denmark,2552
2000-10,Europe,Finland,2172
2000-10,Europe,France,5840
2000-10,Europe,Germany,15791
2000-10,Europe,Italy,3254
2000-10,Europe,Netherlands,7781
2000-10,Europe,Norway,2203
2000-10,Europe,Rep Of Ireland,na
2000-10,Europe,Russian Federation,na
2000-10,Europe,Spain,2116
2000-10,Europe,Sweden,3598
2000-10,Europe,Switzerland,4612
2000-10,Europe,United Kingdom,40203
2000-10,Europe,Other Markets In Europe,na
2000-10,Oceania,Australia,48281
2000-10,Oceania,New Zealand,8837
2000-10,Oceania,Other Markets In Oceania,1040
2000-10,Africa,Egypt,na
2000-10,Africa,Mauritius,na
2000-10,Africa,South Africa (Rep Of),na
2000-10,Africa,Other Markets In Africa,na
2000-11,Southeast Asia,Brunei Darussalam,4477
2000-11,Southeast Asia,Indonesia,94642
2000-11,Southeast Asia,Malaysia,50641
2000-11,Southeast Asia,Myanmar,1906
2000-11,Southeast Asia,Philippines,14967
2000-11,Southeast Asia,Thailand,17934
2000-11,Southeast Asia,Vietnam,2563
2000-11,Southeast Asia,Other Markets In Southeast Asia,na
2000-11,Greater China,China,32999
2000-11,Greater China,Hong Kong SAR,21326
2000-11,Greater China,Taiwan,17034
2000-11,Greater China,Other Markets In Greater China,na
2000-11,North Asia,Japan,80889
2000-11,North Asia,South Korea,31169
2000-11,North Asia,Other Markets In North Asia,na
2000-11,South Asia,Bangladesh,3240
2000-11,South Asia,India,27058
2000-11,South Asia,Pakistan,3895
2000-11,South Asia,Sri Lanka,5336
2000-11,South Asia,Other Markets In South Asia,1561
2000-11,West Asia,Iran,538
2000-11,West Asia,Israel,na
2000-11,West Asia,Kuwait,216
2000-11,West Asia,Saudi Arabia,756
2000-11,West Asia,United Arab Emirates,1097
2000-11,West Asia,Other Markets In West Asia,na
2000-11,Americas,Canada,6681
2000-11,Americas,USA,33171
2000-11,Americas,Other Markets In Americas,na
2000-11,Europe,Belgium & Luxembourg,2284
2000-11,Europe,Denmark,2360
2000-11,Europe,Finland,1712
2000-11,Europe,France,6041
2000-11,Europe,Germany,16171
2000-11,Europe,Italy,3071
2000-11,Europe,Netherlands,7156
2000-11,Europe,Norway,1820
2000-11,Europe,Rep Of Ireland,na
2000-11,Europe,Russian Federation,na
2000-11,Europe,Spain,1421
2000-11,Europe,Sweden,4358
2000-11,Europe,Switzerland,4511
2000-11,Europe,United Kingdom,42316
2000-11,Europe,Other Markets In Europe,na
2000-11,Oceania,Australia,42794
2000-11,Oceania,New Zealand,6859
2000-11,Oceania,Other Markets In Oceania,947
2000-11,Africa,Egypt,na
2000-11,Africa,Mauritius,na
2000-11,Africa,South Africa (Rep Of),na
2000-11,Africa,Other Markets In Africa,na
2000-12,Southeast Asia,Brunei Darussalam,5877
2000-12,Southeast Asia,Indonesia,155309
2000-12,Southeast Asia,Malaysia,58491
2000-12,Southeast Asia,Myanmar,2677
2000-12,Southeast Asia,Philippines,14887
2000-12,Southeast Asia,Thailand,19493
2000-12,Southeast Asia,Vietnam,2389
2000-12,Southeast Asia,Other Markets In Southeast Asia,na
2000-12,Greater China,China,37762
2000-12,Greater China,Hong Kong SAR,22183
2000-12,Greater China,Taiwan,19314
2000-12,Greater China,Other Markets In Greater China,na
2000-12,North Asia,Japan,73898
2000-12,North Asia,South Korea,28426
2000-12,North Asia,Other Markets In North Asia,na
2000-12,South Asia,Bangladesh,3443
2000-12,South Asia,India,26818
2000-12,South Asia,Pakistan,3268
2000-12,South Asia,Sri Lanka,6306
2000-12,South Asia,Other Markets In South Asia,1638
2000-12,West Asia,Iran,579
2000-12,West Asia,Israel,na
2000-12,West Asia,Kuwait,231
2000-12,West Asia,Saudi Arabia,994
2000-12,West Asia,United Arab Emirates,1471
2000-12,West Asia,Other Markets In West Asia,na
2000-12,Americas,Canada,6525
2000-12,Americas,USA,32740
2000-12,Americas,Other Markets In Americas,na
2000-12,Europe,Belgium & Luxembourg,2200
2000-12,Europe,Denmark,1851
2000-12,Europe,Finland,1784
2000-12,Europe,France,5425
2000-12,Europe,Germany,12127
2000-12,Europe,Italy,2697
2000-12,Europe,Netherlands,6284
2000-12,Europe,Norway,1847
2000-12,Europe,Rep Of Ireland,na
2000-12,Europe,Russian Federation,na
2000-12,Europe,Spain,1048
2000-12,Europe,Sweden,4466
2000-12,Europe,Switzerland,4044
2000-12,Europe,United Kingdom,41969
2000-12,Europe,Other Markets In Europe,na
2000-12,Oceania,Australia,45258
2000-12,Oceania,New Zealand,6576
2000-12,Oceania,Other Markets In Oceania,1120
2000-12,Africa,Egypt,na
2000-12,Africa,Mauritius,na
2000-12,Africa,South Africa (Rep Of),na
2000-12,Africa,Other Markets In Africa,na
2001-01,Southeast Asia,Brunei Darussalam,3830
2001-01,Southeast Asia,Indonesia,115824
2001-01,Southeast Asia,Malaysia,45594
2001-01,Southeast Asia,Myanmar,1713
2001-01,Southeast Asia,Philippines,12562
2001-01,Southeast Asia,Thailand,17330
2001-01,Southeast Asia,Vietnam,2629
2001-01,Southeast Asia,Other Markets In Southeast Asia,na
2001-01,Greater China,China,56460
2001-01,Greater China,Hong Kong SAR,27778
2001-01,Greater China,Taiwan,20418
2001-01,Greater China,Other Markets In Greater China,na
2001-01,North Asia,Japan,65381
2001-01,North Asia,South Korea,32727
2001-01,North Asia,Other Markets In North Asia,na
2001-01,South Asia,Bangladesh,3180
2001-01,South Asia,India,23699
2001-01,South Asia,Pakistan,3123
2001-01,South Asia,Sri Lanka,4176
2001-01,South Asia,Other Markets In South Asia,1918
2001-01,West Asia,Iran,515
2001-01,West Asia,Israel,na
2001-01,West Asia,Kuwait,532
2001-01,West Asia,Saudi Arabia,1114
2001-01,West Asia,United Arab Emirates,1321
2001-01,West Asia,Other Markets In West Asia,na
2001-01,Americas,Canada,7071
2001-01,Americas,USA,33297
2001-01,Americas,Other Markets In Americas,na
2001-01,Europe,Belgium & Luxembourg,1740
2001-01,Europe,Denmark,2198
2001-01,Europe,Finland,1583
2001-01,Europe,France,5384
2001-01,Europe,Germany,12891
2001-01,Europe,Italy,3023
2001-01,Europe,Netherlands,6299
2001-01,Europe,Norway,1977
2001-01,Europe,Rep Of Ireland,na
2001-01,Europe,Russian Federation,na
2001-01,Europe,Spain,1020
2001-01,Europe,Sweden,4615
2001-01,Europe,Switzerland,4065
2001-01,Europe,United Kingdom,45231
2001-01,Europe,Other Markets In Europe,na
2001-01,Oceania,Australia,50416
2001-01,Oceania,New Zealand,7220
2001-01,Oceania,Other Markets In Oceania,1133
2001-01,Africa,Egypt,na
2001-01,Africa,Mauritius,na
2001-01,Africa,South Africa (Rep Of),na
2001-01,Africa,Other Markets In Africa,na
2001-02,Southeast Asia,Brunei Darussalam,4373
2001-02,Southeast Asia,Indonesia,94251
2001-02,Southeast Asia,Malaysia,40761
2001-02,Southeast Asia,Myanmar,1639
2001-02,Southeast Asia,Philippines,14196
2001-02,Southeast Asia,Thailand,18039
2001-02,Southeast Asia,Vietnam,2211
2001-02,Southeast Asia,Other Markets In Southeast Asia,na
2001-02,Greater China,China,36157
2001-02,Greater China,Hong Kong SAR,18442
2001-02,Greater China,Taiwan,20078
2001-02,Greater China,Other Markets In Greater China,na
2001-02,North Asia,Japan,72335
2001-02,North Asia,South Korea,32777
2001-02,North Asia,Other Markets In North Asia,na
2001-02,South Asia,Bangladesh,2859
2001-02,South Asia,India,23975
2001-02,South Asia,Pakistan,3688
2001-02,South Asia,Sri Lanka,4370
2001-02,South Asia,Other Markets In South Asia,1548
2001-02,West Asia,Iran,490
2001-02,West Asia,Israel,na
2001-02,West Asia,Kuwait,345
2001-02,West Asia,Saudi Arabia,839
2001-02,West Asia,United Arab Emirates,1076
2001-02,West Asia,Other Markets In West Asia,na
2001-02,Americas,Canada,6815
2001-02,Americas,USA,31381
2001-02,Americas,Other Markets In Americas,na
2001-02,Europe,Belgium & Luxembourg,1950
